 # 2014 10 31 
 # CdTe 20 x 20 x 2 cm^3
 # Crab type flux, 60 to 600 keV, in Z, centered in XY plane 
 # 1 keV Threshold, 5*10^5 photons
106 -0.0692145 62.2299 17.7242 -24
107 0.031814 83.8488 78.7493 -9.58559
107 0.0241575 83.8483 78.7496 -9.58558
107 -0.0559715 83.8488 78.7493 -24
108 0.026711 -77.9128 45.1576 -9.9983
108 0.00115695 -77.9126 45.1575 -9.99792
108 0.00174176 -77.9128 45.1577 -9.9977
108 0.00241783 -77.9126 45.1574 -9.99819
108 0.0112468 -77.9124 45.1575 -9.99844
108 0.00171431 -77.9122 45.1576 -9.99864
108 0.00150857 -77.9122 45.1579 -9.99896
108 0.00140186 -77.9122 45.1579 -9.9992
108 0.00288603 -77.9123 45.1581 -9.99919
108 0.00231849 -77.9124 45.158 -9.99938
108 0.00526644 -77.9124 45.1581 -9.99942
108 -0.0601074 -77.9128 45.1576 -24
109 0.0496941 -94.9019 91.577 0.0463513
109 -0.324166 -94.9028 91.5778 -24
110 0.031814 84.3497 -95.5709 -9.34648
110 0.101958 84.3466 -95.5715 -9.34268
110 -0.133772 84.3497 -95.5709 -24
111 0.031814 34.8008 27.2531 -9.41686
111 0.0398281 34.8011 27.2541 -9.417
111 -0.0716421 34.8008 27.2531 -24
112 0.031814 39.9355 80.0692 -9.94931
112 0.0376136 39.9348 80.0686 -9.94888
112 -0.0694276 39.9355 80.0692 -24
113 0.031814 -18.5136 -84.4953 -9.9452
113 0.0386236 -18.513 -84.4953 -9.94433
113 -0.0704376 -18.5136 -84.4953 -24
114 0.031814 17.9166 -77.1624 -9.7352
114 0.0744135 17.9155 -77.1597 -9.73529
114 -0.106228 17.9166 -77.1624 -24
115 0.031814 60.6993 -0.517526 -8.79733
115 0.0500683 60.699 -0.518937 -8.79677
115 -0.0818823 60.6993 -0.517526 -24
116 0.031814 42.7338 -44.6942 -9.35837
116 0.0723604 42.7343 -44.6918 -9.35705
116 -0.104174 42.7338 -44.6942 -24
117 0.031814 67.732 -14.9276 -8.31494
117 0.0389772 67.7312 -14.9281 -8.31463
117 -0.0707912 67.732 -14.9276 -24
118 0.031814 21.813 45.0904 -8.7829
118 0.0328666 21.8137 45.0908 -8.7829
118 -0.0646806 21.813 45.0904 -24
119 0.026711 -57.679 -53.3214 -9.89329
119 0.0496815 -57.68 -53.3226 -9.89297
119 -0.0763925 -57.679 -53.3214 -24
120 0.026711 -53.7183 -87.896 -9.14313
120 0.0439135 -53.7181 -87.8962 -9.14191
120 -0.0706245 -53.7183 -87.896 -24
121 0.031814 -74.2533 -5.72669 -9.58303
121 0.0545144 -74.2518 -5.7275 -9.58267
121 -0.0863284 -74.2533 -5.72669 -24
122 0.026711 95.0266 42.6166 -8.92725
122 0.0518527 95.0252 42.6169 -8.92643
122 -0.0785637 95.0266 42.6166 -24
123 0.031814 -38.5601 96.2178 -7.8061
123 0.0596848 -38.5598 96.2196 -7.80513
123 -0.0914988 -38.5601 96.2178 -24
124 0.031814 1.19782 -32.7786 -9.79966
124 0.0233103 1.19804 -32.7785 -9.79927
124 -0.0551243 1.19782 -32.7786 -24
125 0.026711 42.3513 26.2136 -9.98049
125 0.00958273 42.3519 26.2121 -9.97511
125 0.00471968 42.3522 26.2106 -9.97791
125 0.0554078 42.3507 26.2098 -9.97868
125 -0.0964212 42.3513 26.2136 -24
126 0.025108 -54.964 84.2904 5.03286
126 0.0776577 -55.0343 84.4463 4.893
126 -0.375583 -55.0333 84.4441 -24
127 0.031814 -65.4841 13.4849 -1.70653
127 0.231385 -65.4829 13.4678 -1.70039
127 0.107032 -65.2516 14.7369 -2.32255
127 -0.37023 -65.2522 14.7333 -24
128 0.026711 -29.28 97.2926 -9.96675
128 0.0346297 -29.2793 97.2925 -9.96632
128 -0.0613407 -29.28 97.2926 -24
129 0.026711 12.1648 -17.0832 -9.49358
129 0.0804561 12.1679 -17.0823 -9.49422
